Time,Position
0.567,-0.59092955
0.568,-0.595280958
0.569,-0.599568519
0.57,-0.603791869
0.571,-0.607950648
0.572,-0.612044507
0.573,-0.6160731
0.574,-0.620036091
0.575,-0.623933149
0.576,-0.62776395
0.577,-0.631528178
0.578,-0.635225523
0.579,-0.638855682
0.58,-0.642418359
0.581,-0.645913267
0.582,-0.649340123
0.583,-0.652698652
0.584,-0.655988588
0.585,-0.659209671
0.586,-0.662361646
0.587,-0.665444268
0.588,-0.668457299
0.589,-0.671400506
0.59,-0.674273666
0.591,-0.677076561
0.592,-0.679808982
0.593,-0.682470724
0.594,-0.685061595
0.595,-0.687581404
0.596,-0.690029971
0.597,-0.692407123
0.598,-0.694712694
0.599,-0.696946524
0.6,-0.699108462
0.601,-0.701198364
0.602,-0.703216094
0.603,-0.70516152
0.604,-0.707034522
0.605,-0.708834984
0.606,-0.710562799
0.607,-0.712217868
0.608,-0.713800096
0.609,-0.715309399
0.61,-0.716745699
0.611,-0.718108925
0.612,-0.719399015
0.613,-0.720615911
0.614,-0.721759566
0.615,-0.722829939
0.616,-0.723826996
0.617,-0.72475071
0.618,-0.725601063
0.619,-0.726378042
0.62,-0.727081645
0.621,-0.727711872
0.622,-0.728268736
0.623,-0.728752253
0.624,-0.729162449
0.625,-0.729499355
0.626,-0.729763012
0.627,-0.729953466
0.628,-0.730070771
0.629,-0.73011499
0.63,-0.730086189
0.631,-0.729984446
0.632,-0.729809844
0.633,-0.729562472
0.634,-0.729242428
0.635,-0.728849817
0.636,-0.72838475
0.637,-0.727847346
0.638,-0.727237732
0.639,-0.72655604
0.64,-0.725802411
0.641,-0.724976992
0.642,-0.724079937
0.643,-0.723111408
0.644,-0.722071572
0.645,-0.720960605
0.646,-0.719778689
0.647,-0.718526013
0.648,-0.717202773
0.649,-0.715809172
0.65,-0.714345419
0.651,-0.712811731
0.652,-0.711208331
0.653,-0.709535448
0.654,-0.707793321
0.655,-0.705982191
0.656,-0.704102309
0.657,-0.702153931
0.658,-0.700137322
0.659,-0.698052749
0.66,-0.695900491
0.661,-0.693680829
0.662,-0.691394052
0.663,-0.689040457
0.664,-0.686620346
0.665,-0.684134026
0.666,-0.681581812
0.667,-0.678964026
0.668,-0.676280995
0.669,-0.673533052
0.67,-0.670720536
0.671,-0.667843793
0.672,-0.664903175
0.673,-0.661899039
0.674,-0.65883175
0.675,-0.655701677
0.676,-0.652509196
0.677,-0.649254688
0.678,-0.64593854
0.679,-0.642561146
0.68,-0.639122904
0.681,-0.635624218
0.682,-0.6320655
0.683,-0.628447164
0.684,-0.624769632
0.685,-0.62103333
0.686,-0.617238691
0.687,-0.613386152
0.688,-0.609476156
0.689,-0.605509152
0.69,-0.601485592
0.691,-0.597405936
0.692,-0.593270648
0.693,-0.589080196
0.694,-0.584835054
0.695,-0.580535701
0.696,-0.576182621
0.697,-0.571776304
0.698,-0.567317242
0.699,-0.562805933
